City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,Batticaloa,7.71,81.69,75.85,79,93,4.45,LK,2020-01-09 02:17:33
39,Andros Town,24.73,-77.79,73.4,53,40,10.29,BS,2020-01-09 02:17:33
40,Husavik,50.56,-96.99,1.99,90,100,17.87,CA,2020-01-09 02:17:34
41,Khatanga,71.98,102.47,-4.58,96,100,9.55,RU,2020-01-09 02:17:34
42,Anadyr,64.73,177.51,6.8,77,20,17.9,RU,2020-01-09 02:17:34
43,Geraldton,49.72,-86.95,-18.4,68,5,2.24,CA,2020-01-09 02:17:34
44,Pedregal,-32.96,-68.68,93.2,6,20,14.99,AR,2020-01-09 02:17:34
45,Bredasdorp,-34.53,20.04,66.2,68,9,8.05,ZA,2020-01-09 02:17:35
46,Tuatapere,-46.13,167.69,57.0,61,83,15.99,NZ,2020-01-09 02:17:35
47,Cidreira,-30.17,-50.22,75.04,85,13,24.02,BR,2020-01-09 02:17:35
48,Boguchany,58.38,97.46,-1.98,98,87,2.53,RU,2020-01-09 02:17:35
49,Port Alfred,-33.59,26.89,70.0,92,59,7.0,ZA,2020-01-09 02:17:36
50,Puerto Ayora,-0.74,-90.35,73.0,73,61,8.01,EC,2020-01-09 02:17:36
51,Avarua,-21.21,-159.78,84.2,74,91,13.87,CK,2020-01-09 02:17:36
52,Ostrovnoy,68.05,39.51,33.04,97,100,15.01,RU,2020-01-09 02:17:36
53,Bilibino,68.06,166.44,-20.85,86,81,3.29,RU,2020-01-09 02:17:36
54,Nikolskoye,59.7,30.79,41.0,86,90,11.18,RU,2020-01-09 02:17:37
55,Sorong,-0.86,131.25,86.74,62,67,3.18,ID,2020-01-09 02:17:37
56,East London,-33.02,27.91,72.91,82,79,20.54,ZA,2020-01-09 02:17:37
57,Valparaiso,41.47,-87.06,21.99,92,1,9.91,US,2020-01-09 02:13:28
58,Inhambane,-23.87,35.38,81.14,82,0,11.92,MZ,2020-01-09 02:17:38
59,Mahebourg,-20.41,57.7,75.2,94,40,2.24,MU,2020-01-09 02:17:38
60,Oranjemund,-28.55,16.43,61.77,78,66,2.73,ZA,2020-01-09 02:17:38
61,Vaini,15.34,74.49,66.2,93,43,7.52,IN,2020-01-09 02:17:38
62,Los Llanos De Aridane,28.66,-17.92,66.2,68,90,17.22,ES,2020-01-09 02:17:38
63,Port Elizabeth,39.31,-74.98,35.6,62,1,11.41,US,2020-01-09 02:17:39
64,Ginda,30.69,78.49,29.14,88,0,4.88,IN,2020-01-09 02:17:39
65,Marsaxlokk,35.84,14.54,52.0,66,0,8.05,MT,2020-01-09 02:17:39
66,Hithadhoo,-0.6,73.08,82.38,79,65,15.41,MV,2020-01-09 02:17:39
67,Jumla,29.28,82.18,26.01,95,100,1.9,NP,2020-01-09 02:17:39
68,Dikson,73.51,80.55,-11.43,96,95,13.53,RU,2020-01-09 02:17:39
69,Airai,-8.93,125.41,81.41,47,90,5.32,TL,2020-01-09 02:17:40
70,Joshimath,30.57,79.57,23.5,84,97,5.06,IN,2020-01-09 02:17:40
71,Victoria,5.28,115.24,84.2,70,75,3.36,BN,2020-01-09 02:17:40
72,New Norfolk,-42.78,147.06,88.0,44,20,11.41,AU,2020-01-09 02:17:40
73,Kaura Namoda,12.59,6.58,68.04,23,55,13.38,NG,2020-01-09 02:17:40
74,Chokurdakh,70.62,147.9,-11.4,97,90,5.41,RU,2020-01-09 02:17:41
75,Saint-Pierre,48.95,4.24,51.8,100,90,8.05,FR,2020-01-09 02:17:41
76,Provideniya,64.42,-173.23,3.2,71,6,15.66,RU,2020-01-09 02:17:41
77,Saint-Philippe,45.36,-73.48,21.2,79,90,6.93,CA,2020-01-09 02:17:41
78,Bayshore Gardens,27.43,-82.59,60.8,47,1,8.05,US,2020-01-09 02:17:42
79,Tiksi,71.64,128.87,-9.44,88,100,6.51,RU,2020-01-09 02:17:42
80,Saint-Augustin,45.63,-73.98,19.4,66,75,19.46,CA,2020-01-09 02:17:42
81,Njinikom,6.23,10.31,61.34,48,0,2.48,CM,2020-01-09 02:17:42
82,Dingle,11.0,122.67,81.32,75,58,14.12,PH,2020-01-09 02:17:43
83,Oriximina,-1.77,-55.87,77.05,84,100,0.98,BR,2020-01-09 02:17:43
84,Lichinga,-13.3,35.25,66.2,93,90,3.36,MZ,2020-01-09 02:17:43
85,Kaitangata,-46.28,169.85,61.0,43,100,15.01,NZ,2020-01-09 02:17:43
86,Talnakh,69.49,88.39,-5.8,83,75,17.9,RU,2020-01-09 02:17:44
87,Palora,-1.7,-77.97,63.14,93,2,3.8,EC,2020-01-09 02:17:44
88,Tasiilaq,65.61,-37.64,-6.23,44,20,15.32,GL,2020-01-09 02:17:44
89,Lebu,8.96,38.73,57.2,67,20,14.99,ET,2020-01-09 02:17:44
90,Iquique,-20.22,-70.14,69.8,68,24,11.41,CL,2020-01-09 02:17:44
91,Vanimo,-2.67,141.3,82.4,75,14,7.27,PG,2020-01-09 02:17:45
92,Tura,64.27,100.22,-8.72,93,0,5.53,RU,2020-01-09 02:17:45
93,Abalak,15.46,6.28,62.24,23,98,12.35,NE,2020-01-09 02:17:45
94,Kavieng,-2.57,150.8,84.47,75,100,12.77,PG,2020-01-09 02:17:45
95,Poum,41.28,20.71,28.38,42,0,2.51,MK,2020-01-09 02:17:45
96,Chapais,49.78,-74.86,-0.4,77,90,13.87,CA,2020-01-09 02:17:46
97,Ancud,-41.87,-73.83,46.4,93,75,9.17,CL,2020-01-09 02:17:46
98,Najran,17.54,44.22,55.4,66,0,2.24,SA,2020-01-09 02:17:46
99,Srivardhan,18.03,73.02,71.15,82,40,6.04,IN,2020-01-09 02:17:46
100,Tshela,-4.99,12.94,69.39,98,100,1.81,CD,2020-01-09 02:17:46
101,Caravelas,-17.73,-39.27,70.29,94,99,7.74,BR,2020-01-09 02:17:47
102,Tilichiki,60.47,166.1,2.88,93,100,11.99,RU,2020-01-09 02:17:47
103,Porbandar,21.64,69.61,57.2,62,0,9.17,IN,2020-01-09 02:17:47
104,El Copey,10.15,-73.96,78.06,63,1,2.66,CO,2020-01-09 02:17:47
105,Cape Town,-33.93,18.42,66.2,77,75,11.41,ZA,2020-01-09 02:16:06
106,Sangueya,10.7,-14.37,70.41,56,19,5.19,GN,2020-01-09 02:17:48
