City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
146,lagos,NG,2020-01-09 01:29:14,6.46,3.39,81.41,77,47,6.62,scattered clouds,0.0,0.0
147,tondano,ID,2020-01-09 01:30:14,1.3,124.91,80.6,88,40,4.27,scattered clouds,0.0,0.0
148,matagami,NG,2020-01-09 01:30:14,9.67,8.4,69.08,32,0,5.64,clear sky,0.0,0.0
149,saint anthony,US,2020-01-09 01:30:14,43.97,-111.68,30.2,74,75,13.87,broken clouds,0.0,0.0
150,burnie,AU,2020-01-09 01:30:14,-41.05,145.91,73.0,58,13,14.0,few clouds,0.0,0.0
151,sangmelima,CM,2020-01-09 01:30:14,2.93,11.98,69.08,93,34,3.44,scattered clouds,0.0,0.0
152,adrar,DZ,2020-01-09 01:30:15,27.87,-0.29,44.6,45,0,11.41,clear sky,0.0,0.0
153,neyshabur,IR,2020-01-09 01:30:15,36.21,58.79,30.65,43,0,3.22,clear sky,0.0,0.0
154,leh,IN,2020-01-09 01:30:16,34.16,77.58,-4.63,88,100,0.85,overcast clouds,0.0,0.0
155,bitung,ID,2020-01-09 01:30:16,1.44,125.19,80.6,88,40,4.27,scattered clouds,0.0,0.0
156,port moresby,PG,2020-01-09 01:28:31,-9.47,147.16,86.0,74,40,12.75,scattered clouds,0.0,0.0
157,yerbogachen,RU,2020-01-09 01:30:17,61.28,108.01,2.44,95,100,7.76,overcast clouds,0.0,0.0
158,ferkessedougou,CI,2020-01-09 01:30:17,9.6,-5.2,73.2,31,10,2.33,clear sky,0.0,0.0
159,cidreira,BR,2020-01-09 01:30:17,-30.17,-50.22,74.88,85,10,24.79,clear sky,0.0,0.0
160,pauini,BR,2020-01-09 01:30:17,-7.71,-67.0,73.94,93,100,2.68,light rain,0.81,0.0
161,bonthe,SL,2020-01-09 01:30:18,7.53,-12.5,77.77,85,76,4.25,broken clouds,0.0,0.0
162,glendive,US,2020-01-09 01:30:18,47.11,-104.71,26.6,86,1,6.93,clear sky,0.0,0.0
163,hilo,US,2020-01-09 01:30:18,19.71,-155.08,82.4,54,75,17.22,broken clouds,0.0,0.0
164,codrington,AU,2020-01-09 01:30:18,-28.95,153.24,91.99,38,78,4.7,broken clouds,0.0,0.0
